timestamp,room_id,area,doors_area,panels_area,hours,days,months,temprature_value,humidity_value,co2_value
6/5/25 9:24,227,123.321674999996,33.7,0.0,9,5,6,20.3707581,30.1587296,466.910889
6/5/25 9:09,227,123.321674999996,33.7,0.0,9,5,6,20.245697,30.2564106,461.940979
6/5/25 8:54,227,123.321674999996,33.7,0.0,8,5,6,20.1206055,30.6959705,457.779083
6/5/25 8:39,227,123.321674999996,33.7,0.0,8,5,6,20.058075,30.8913307,469.841278
6/5/25 8:24,227,123.321674999996,33.7,0.0,8,5,6,19.9955292,30.9401703,469.841278
6/5/25 8:09,227,123.321674999996,33.7,0.0,8,5,6,19.9955292,31.0622711,463.980499
6/5/25 7:54,227,123.321674999996,33.7,0.0,7,5,6,19.9955292,31.2820511,471.794891
6/5/25 7:39,227,123.321674999996,33.7,0.0,7,5,6,19.9329834,31.5995121,472.771698
6/5/25 7:24,227,123.321674999996,33.7,0.0,7,5,6,19.9329834,31.8192921,468.021942
6/5/25 7:09,227,123.321674999996,33.7,0.0,7,5,6,19.9329834,31.8925514,468.987671
6/5/25 6:54,227,123.321674999996,33.7,0.0,6,5,6,19.8704529,31.9902325,477.089172
6/5/25 6:39,227,123.321674999996,33.7,0.0,6,5,6,19.8704529,32.0879135,477.041138
6/5/25 6:24,227,123.321674999996,33.7,0.0,6,5,6,19.8704529,32.3321114,473.029449
6/5/25 6:09,227,123.321674999996,33.7,0.0,6,5,6,19.9329834,32.4542122,467.87616
6/5/25 5:54,227,123.321674999996,33.7,0.0,5,5,6,20.1206055,32.6984138,469.841278
6/5/25 5:39,227,123.321674999996,33.7,0.0,5,5,6,20.183136,33.6996346,471.794891
6/5/25 5:24,227,123.321674999996,33.7,0.0,5,5,6,20.183136,34.7741165,468.864502
6/5/25 5:09,227,123.321674999996,33.7,0.0,5,5,6,20.245697,36.1904755,469.841278
6/5/25 4:54,227,123.321674999996,33.7,0.0,4,5,6,20.245697,38.0463982,472.098419
6/5/25 4:39,227,123.321674999996,33.7,0.0,4,5,6,20.245697,39.6825409,471.257904
6/5/25 4:24,227,123.321674999996,33.7,0.0,4,5,6,20.3082275,40.854702,467.887695
6/5/25 4:09,227,123.321674999996,33.7,0.0,4,5,6,20.3082275,41.2698402,473.748505
6/5/25 3:54,227,123.321674999996,33.7,0.0,3,5,6,20.3082275,41.4896202,475.702087
6/5/25 3:39,227,123.321674999996,33.7,0.0,3,5,6,20.3707581,41.9536018,460.561646
6/5/25 3:24,227,123.321674999996,33.7,0.0,3,5,6,20.3707581,42.0268631,469.841278
6/5/25 3:09,227,123.321674999996,33.7,0.0,3,5,6,20.3707581,41.5384598,471.318207
6/5/25 2:54,227,123.321674999996,33.7,0.0,2,5,6,20.4333038,41.0451775,478.894745
6/5/25 2:39,227,123.321674999996,33.7,0.0,2,5,6,20.4958496,40.3051682,473.060425
6/5/25 2:24,227,123.321674999996,33.7,0.0,2,5,6,20.4958496,39.1208801,479.609314
6/5/25 2:09,227,123.321674999996,33.7,0.0,2,5,6,20.5583801,37.2161179,479.62323
6/5/25 1:54,227,123.321674999996,33.7,0.0,1,5,6,20.5583801,34.7496948,489.865692
6/5/25 1:39,227,123.321674999996,33.7,0.0,1,5,6,20.6209259,31.9755802,487.912079
6/5/25 1:24,227,123.321674999996,33.7,0.0,1,5,6,20.6209259,31.1111107,481.074493
6/5/25 1:09,227,123.321674999996,33.7,0.0,1,5,6,20.6209259,31.4529915,492.229004
6/5/25 0:54,227,123.321674999996,33.7,0.0,0,5,6,20.5583801,31.3797321,496.703278
6/5/25 0:39,227,123.321674999996,33.7,0.0,0,5,6,20.4333038,31.5995121,490.884735
6/5/25 0:24,227,123.321674999996,33.7,0.0,0,5,6,20.2352028,31.9288883,487.912079
6/5/25 0:09,227,123.321674999996,33.7,0.0,0,5,6,19.8704529,32.5274734,495.726501
6/4/25 23:54,227,123.321674999996,33.7,0.0,23,4,6,19.6828308,32.576313,480.58609
6/4/25 23:39,227,123.321674999996,33.7,0.0,23,4,6,19.620285,33.3333321,487.912079
6/4/25 23:24,227,123.321674999996,33.7,0.0,23,4,6,19.6828308,33.4798546,502.564087
6/4/25 23:09,227,123.321674999996,33.7,0.0,23,4,6,19.8704529,33.1628075,513.797302
6/4/25 22:54,227,123.321674999996,33.7,0.0,22,4,6,19.9955292,32.6655998,510.83316
6/4/25 22:39,227,123.321674999996,33.7,0.0,22,4,6,20.245697,32.0634918,507.936523
6/4/25 22:24,227,123.321674999996,33.7,0.0,22,4,6,20.3707581,31.5750923,508.91333
6/4/25 22:09,227,123.321674999996,33.7,0.0,22,4,6,20.6209259,30.4517708,514.774109
6/4/25 21:54,227,123.321674999996,33.7,0.0,21,4,6,20.6834564,29.4405479,506.959717
6/4/25 21:39,227,123.321674999996,33.7,0.0,21,4,6,20.808548,28.0097675,493.679108
6/4/25 21:24,227,123.321674999996,33.7,0.0,21,4,6,20.808548,27.8876686,486.935272
